Year,Driver,Team,Country
1950,Nino Farina,Alfa Romeo,Italy
1951,Juan Manuel Fangio,Alfa Romeo,Argentina
1952,Alberto Ascari,Ferrari,Italy
1953,Alberto Ascari,Ferrari,Italy
1954,Juan Manuel Fangio,"Maserati
Mercedes",Argentina
1955,Juan Manuel Fangio,Mercedes,Argentina
1956,Juan Manuel Fangio,Ferrari,Argentina
1957,Juan Manuel Fangio,Maserati,Argentina
1958,Mike Hawthorn,Ferrari,United Kingdom
1959,Jack Brabham,Cooper-Climax*,Australia
1960,Jack Brabham,Cooper-Climax*,Australia
1961,Phil Hill,Ferrari*,United States
1962,Graham Hill,BRM*,United Kingdom
1963,Jim Clark,Lotus-Climax*,United Kingdom
1964,John Surtees,Ferrari*,United Kingdom
1965,Jim Clark,Lotus-Climax*,United Kingdom
1966,Jack Brabham,Brabham-Repco*,Australia
1967,Denny Hulme,Brabham-Repco*,Australia
1968,Graham Hill,Lotus-FordCosworth*,United Kingdom
1969,Jackie Stewart,Matra-FordCosworth*,United Kingdom
1970,Jochen Rindt,Lotus-FordCosworth*,Austria
1971,Jackie Stewart,Tyrrell-FordCosworth*,United Kingdom
1972,Emerson Fittipaldi,Lotus-FordCosworth*,Brazil
1973,Jackie Stewart,Tyrrell-FordCosworth,United Kingdom
1974,Emerson Fittipaldi,McLaren-FordCosworth*,Brazil
1975,Niki Lauda,Ferrari*,Austria
1976,James Hunt,McLaren-FordCosworth,United Kingdom
1977,Niki Lauda,Ferrari*,Austria
1978,Mario Andretti,Lotus-FordCosworth*,United States
1979,Jody Scheckter,Ferrari*,South Africa
1980,Alan Jones,Williams-FordCosworth*,Australia
1981,Nelson Piquet,Brabham-FordCosworth,Brazil
1982,Keke Rosberg,Williams-FordCosworth,Finland
1983,Nelson Piquet,Brabham-BMW,Brazil
1984,Niki Lauda,McLaren-TAG*,Austria
1985,Alain Prost,McLaren-TAG*,France
1986,Alain Prost,McLaren-TAG,France
1987,Nelson Piquet,Williams-Honda*,Brazil
1988,Ayrton Senna,McLaren-Honda*,Brazil
1989,Alain Prost,McLaren-Honda*,France
1990,Ayrton Senna,McLaren-Honda*,Brazil
1991,Ayrton Senna,McLaren-Honda*,Brazil
1992,Nigel Mansell,Williams-Renault*,United Kingdom
1993,Alain Prost,Williams-Renault*,France
1994,Michael Schumacher,Benetton-FordCosworth,Germany
1995,Michael Schumacher,Benetton-Renault*,Germany
1996,Damon Hill,Williams-Renault*,United Kingdom
1997,Jacques Villeneuve,Williams-Renault*,Canada
1998,Mika Häkkinen,McLaren-Mercedes*,Finland
1999,Mika Häkkinen,McLaren-Mercedes,Finland
2000,Michael Schumacher,Ferrari*,Germany
2001,Michael Schumacher,Ferrari*,Germany
2002,Michael Schumacher,Ferrari*,Germany
2003,Michael Schumacher,Ferrari*,Germany
2004,Michael Schumacher,Ferrari*,Germany
2005,Fernando Alonso,Renault*,Spain
2006,Fernando Alonso,Renault*,Spain
2007,Kimi Räikkönen,Ferrari*,Finland
2008,Lewis Hamilton,McLaren-Mercedes,United Kingdom
2009,Jenson Button,Brawn-Mercedes*,United Kingdom
2010,Sebastian Vettel,Red Bull Racing-Renault*,Germany
2011,Sebastian Vettel,Red Bull Racing-Renault*,Germany
2012,Sebastian Vettel,Red Bull Racing-Renault*,Germany
2013,Sebastian Vettel,Red Bull Racing-Renault*,Germany
2014,Lewis Hamilton,Mercedes*,United Kingdom
2015,Lewis Hamilton,Mercedes*,United Kingdom
2016,Nico Rosberg,Mercedes*,United Kingdom
2017,Lewis Hamilton,Mercedes*,United Kingdom
2018,Lewis Hamilton,Mercedes*,United Kingdom
2019,Lewis Hamilton,Mercedes*,United Kingdom
2020,Lewis Hamilton,Mercedes*,United Kingdom
2021,Max Verstappen**,Red Bull Racing-Honda,Netherlands
